1	17345224	17345453	SDHB	-
1	17349102	17349225	SDHB	-
1	17350467	17350569	SDHB	-
1	17354243	17354360	SDHB	-
1	17355094	17355231	SDHB	-
1	17359554	17359640	SDHB	-
1	17371255	17371383	SDHB	-
1	17380442	17380665	SDHB	-
1	161284165	161284215	SDHC	+
1	161293403	161293460	SDHC	+
1	161298185	161298287	SDHC	+
1	161310383	161310445	SDHC	+
1	161326466	161326630	SDHC	+
1	161332118	161334535	SDHC	+
10	43572516	43572779	RET	+
10	43595906	43596170	RET	+
10	43597789	43598077	RET	+
10	43600399	43600641	RET	+
10	43601823	43602019	RET	+
10	43604478	43604678	RET	+
10	43606654	43606913	RET	+
10	43607546	43607672	RET	+
10	43608300	43608411	RET	+
10	43609003	43609123	RET	+
10	43609927	43610184	RET	+
10	43612031	43612179	RET	+
10	43613820	43613928	RET	+
10	43614978	43615193	RET	+
10	43615528	43615651	RET	+
10	43617393	43617464	RET	+
10	43619118	43619256	RET	+
10	43620330	43620430	RET	+
10	43622022	43622170	RET	+
10	43622022	43622952	RET	+
10	43623559	43625797	RET	+
10	89623194	89624305	PTEN	+
10	89653781	89653866	PTEN	+
10	89685269	89685314	PTEN	+
10	89690802	89690846	PTEN	+
10	89692769	89693008	PTEN	+
10	89711874	89712016	PTEN	+
10	89717609	89717776	PTEN	+
10	89720650	89720875	PTEN	+
10	89725043	89728532	PTEN	+
11	22644078	22647387	FANCF	-
11	94150468	94153347	MRE11A	-
11	94163076	94163152	MRE11A	-
11	94168997	94169065	MRE11A	-
11	94170342	94170401	MRE11A	-
11	94178975	94179059	MRE11A	-
11	94180384	94180604	MRE11A	-
11	94189441	94189504	MRE11A	-
11	94192573	94192747	MRE11A	-
11	94194101	94194202	MRE11A	-
11	94197278	94197405	MRE11A	-
11	94200978	94201059	MRE11A	-
11	94203636	94203808	MRE11A	-
11	94204739	94204925	MRE11A	-
11	94209454	94209569	MRE11A	-
11	94211900	94212042	MRE11A	-
11	94212839	94212927	MRE11A	-
11	94219089	94219250	MRE11A	-
11	94223998	94224131	MRE11A	-
11	94225947	94226072	MRE11A	-
11	94226849	94227040	MRE11A	-
11	94226956	94227040	MRE11A	-
11	108093558	108093913	ATM	+
11	108098321	108098423	ATM	+
11	108098502	108098615	ATM	+
11	108099904	108100050	ATM	+
11	108106396	108106561	ATM	+
11	108114679	108114845	ATM	+
11	108115514	108115753	ATM	+
11	108117690	108117854	ATM	+
11	108119659	108119829	ATM	+
11	108121427	108121799	ATM	+
11	108122563	108122758	ATM	+
11	108123543	108123639	ATM	+
11	108124540	108124766	ATM	+
11	108126941	108127067	ATM	+
11	108128207	108128333	ATM	+
11	108129712	108129802	ATM	+
11	108137897	108138069	ATM	+
11	108139136	108139336	ATM	+
11	108141790	108141873	ATM	+
11	108141977	108142133	ATM	+
11	108143258	108143334	ATM	+
11	108143448	108143579	ATM	+
11	108150217	108150335	ATM	+
11	108151721	108151895	ATM	+
11	108153436	108153606	ATM	+
11	108154953	108155200	ATM	+
11	108158326	108158442	ATM	+
11	108159703	108159830	ATM	+
11	108160328	108160528	ATM	+
11	108163345	108163520	ATM	+
11	108164039	108164204	ATM	+
11	108165653	108165786	ATM	+
11	108168013	108168109	ATM	+
11	108170440	108170612	ATM	+
11	108172374	108172516	ATM	+
11	108173579	108173756	ATM	+
11	108175401	108175579	ATM	+
11	108178623	108178711	ATM	+
11	108180886	108181042	ATM	+
11	108183137	108183225	ATM	+
11	108186549	108186638	ATM	+
11	108186737	108186840	ATM	+
11	108188099	108188248	ATM	+
11	108190680	108190785	ATM	+
11	108192027	108192147	ATM	+
11	108196036	108196271	ATM	+
11	108196784	108196952	ATM	+
11	108198371	108198485	ATM	+
11	108199747	108199965	ATM	+
